	text	class
0	 🍒 🍒В наличии! В наличии! В наличии!🍒	1.0
1	 Многие врут, чтобы показаться лучше, чем они есть на самом деле, забыв, что лучшее, что есть в человеке - честность.	0.0
2	 Lera Lera - До свидания (Клип):	1.0
3	 привет старатели !))) всем удачи !	0.0
4	 Люблю рисовать))) И котиков))))💗💗💗	0.0
5	 Мы в СИЦИЛИИ	0.0
6	 И кто говорил что мир жесток? Улыбайся)	0.0
7	" Презентация на тему: ""Политика и экономика: от реформ к «застою» История России 11 класс Белгородский инженерный юношеский лицей-интернат Уч"	1.0
8	 Как пишет американский публицист Пол Крейг Робертс, еще два года назад во время своего телевизионного выступления Владимир Путин говорил о том, что зарубежные организации могут организовать убийство видного деятеля оппозиции, который в качестве «сакральной жертвы» даст западным СМИ повод «демонизировать» Россию. Весьма вероятно, считает Робертс, в ЦРУ решили, что Немцов с его 5 процентами поддержки слишком малозначителен в качестве оппозиционной фигуры и от него мертвого выйдет больше толку, чем от живого. Однако эта уловка в России не сработала. По мнению автора статьи, о косвенном свидетельстве того, что за преступлением стоит тактика ЦРУ, «направленная на подрыв России», говорит реакция американских СМИ. New York Times, Washington Post, Wall Street Journal и прочие «пресститутки», словно по команде, выстроились в очередь со своими статьями, обвиняющими Путина. В своем репортаже Национальное общественное радио США (NPR) дало отрывок из заявления российского диссидента, утверждавшего, что Немцов был «настоящим» соперником Путина, от которого тот решил избавиться. При этом, отмечает Робертс, в ответ на эту «жалкую чушь» не прозвучало никакого иного мнения. «Если следствие обнаружит причастность к делу ЦРУ, то правительство России об этом умолчит, – уверен автор статьи. – Безрассудство Вашингтона, убившего никому не нужного российского политика, чтобы обвинить в этом Москву, будет означать войну. Путин, в отличие от американских властей, не хочет войны». По мнению Робертса, если исполнители убийства не будут найдены, то все будет выглядеть, как попытка замять дело. Поэтому кого-нибудь необходимо обвинить. Российская полиция уже выдвинула версию, что ключевой фигурой в убийстве Немцова может быть сопровождавшая его «привлекательная девушка». Оппозиционер мог также перейти дорогу каким-то опасным людям, возможно, представителям русской мафии. «Что бы ни случилось, пресститутки предложат американцам объяснение, совпадающее с интересами Вашингтона. Все, кто полагается на американские СМИ, никогда не узнают, почему был убит Немцов или что-либо вообще», – заключает Пол Крейг Робертс.	0.0
9	 ...песня ммммм 💓 ))... — И ты что, совсем не боишься последствий? — Знаешь, если всегда чего-то бояться, то тогда какой кайф в жизни?	0.0
10	 Голосуем, голосуем https://vk.com/photo-40434376_356152350	1.0
11	 Вы не знаете меня…но вы чувствуете нечто…и это нечто может быть выражено одним словом – «настройщик»…у каждого человека  внутри звучит симфония, созвучная той симфонии через которую он, этот человек,  познает Вселенную…что Вас лично вдохновляет? Определите…это будет Вашим камертоном…носите этот камертон с собой, всегда, везде, во всем…он работает автономно…но если у Вас нет знания своего камертона, то вы будете искать его во всем…во всем  - до тех пор, пока не ощутите его в своих руках…но если вдруг, Вы встретите человека с похожим камертоном на Ваш – вы потеряете покой…будьте осторожны…	0.0
12	 Все претензии в мой адрес запишите на листочек-сделайте самолетик... И летите на хер! Счастливого полета Вам и Вашим поссажирам!!!	0.0
13	 32 т на хвосте дез то тормозов америка хвост европа пох едим	0.0
14	 25 редких исторических снимков, которые тебе не покажут на уроках истории. Кадры на миллион!	0.0
15	 Свалка (2014) смотреть онлайн бесплатно	1.0
16	 Впервые в  жизни я изучал себя ради разумной  практической цели. И тут я обнаружил то, что  повергло меня в ужас: зверинец похоти, бедлам амбиций, детскую страхов, гарем  взлелеянных ненавистей. Имя мне было — легион.	0.0
17	 Питер - сказка, Питер - мечта, Попадая в его сети, пропадаешь навсегда..	0.0
18	 Минимальная цена на газ для населения выросла в 3 раза	0.0
19	 Халк с лицом Барби (фото)	1.0
