	Unnamed: 0	Unnamed: 0.1	text	class	allclass	texts_pos	texts_fulltag	texts_lemmas	text_lemmas_nostop	texts_plus_pos	texts_+_pos	sex	age	city	verified	blacklisted	deactivated	userid
118	118	2841	 Каждый человек уходя хочет сделать больно, у кого- то это ненамеренно получается, а кто- то специально пытается оставлять шрамы!  Всегда задавала вопрос этой жизни,  зачем?! А в ответ получает все новые и новые случаи....	хорошие	notspam	APRO S V V V ADV PR SPRO CONJ SPRO ADV V CONJ SPRO PART ADV V V S ADVPRO V S APRO S ADVPRO CONJ PR S V APRO A CONJ A S	APRO=(вин,ед,муж,неод|им,ед,муж) S,муж,од=(вин,мн|род,мн|им,ед) V,нп=непрош,деепр,несов V,несов,пе=непрош,ед,изъяв,3-л V,сов,пе=инф ADV= PR= SPRO,ед,муж,од=(вин|род) CONJ= SPRO,ед,сред,неод=(вин|им) ADV= V,нп=непрош,ед,изъяв,3-л,несов CONJ= SPRO,ед,муж,од=им PART= ADV= V,несов,нп=непрош,ед,изъяв,3-л V,пе=инф,несов S,муж,неод=(вин,мн|им,мн) ADVPRO= V,пе=прош,ед,изъяв,жен,несов S,муж,неод=(вин,ед|им,ед) APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) ADVPRO= CONJ= PR= S,муж,неод=(вин,ед|им,ед) V,пе=непрош,ед,изъяв,3-л,несов APRO=(им,мн|вин,ед,сред|им,ед,сред|вин,мн,неод) A=(вин,мн,полн,неод|им,мн,полн) CONJ= A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн)	"  каждый   человек   уходить   хотеть   сделать   больно ,  у   кто -  то   это   ненамеренно   получаться ,  а   кто -  то   специально   пытаться   оставлять   шрам !   всегда   задавать   вопрос   этот   жизнь ,   зачем ?!  а   в   ответ   получать   весь   новый   и   новый   случай .... 
"	уходить сделать больно ненамеренно получаться специально пытаться оставлять шрам задавать вопрос ?! ответ получать новый новый случай ....	"  Каждый APRO=(вин,ед,муж,неод|им,ед,муж)   человек S,муж,од=(вин,мн|род,мн|им,ед)   уходя V,нп=непрош,деепр,несов   хочет V,несов,пе=непрош,ед,изъяв,3-л   сделать V,сов,пе=инф   больно ADV= ,  у PR=   кого SPRO,ед,муж,од=(вин|род) -  то CONJ=   это SPRO,ед,сред,неод=(вин|им)   ненамеренно ADV=   получается V,нп=непрош,ед,изъяв,3-л,несов ,  а CONJ=   кто SPRO,ед,муж,од=им -  то PART=   специально ADV=   пытается V,несов,нп=непрош,ед,изъяв,3-л   оставлять V,пе=инф,несов   шрамы S,муж,неод=(вин,мн|им,мн) !   Всегда ADVPRO=   задавала V,пе=прош,ед,изъяв,жен,несов   вопрос S,муж,неод=(вин,ед|им,ед)   этой APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен)   жизни S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) ,   зачем ADVPRO= ?!  А CONJ=   в PR=   ответ S,муж,неод=(вин,ед|им,ед)   получает V,пе=непрош,ед,изъяв,3-л,несов   все APRO=(им,мн|вин,ед,сред|им,ед,сред|вин,мн,неод)   новые A=(вин,мн,полн,неод|им,мн,полн)   и CONJ=   новые A=(вин,мн,полн,неод|им,мн,полн)   случаи S,муж,неод=(вин,мн|им,мн) .... 
"	КаждыйAPRO человекS уходяV хочетV сделатьV больноADV уPR когоSPRO тоCONJ этоSPRO ненамеренноADV получаетсяV аCONJ ктоSPRO тоPART специальноADV пытаетсяV оставлятьV шрамыS ВсегдаADVPRO задавалаV вопросS этойAPRO жизниS зачемADVPRO АCONJ вPR ответS получаетV всеAPRO новыеA иCONJ новыеA случаиS	1	None	0	0	0	not	103202594
235	235	464	 СК РФ начал искать украинский след в убийстве Немцова — Наталья Козлова — Российская газета	политика	notspam	S S V V A S PR S S S S A S	S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,reserved,сокр,гео,ед,жен,неод=(пр|вин|дат|род|твор|им) V,пе=прош,ед,изъяв,муж,сов V,несов,пе=инф A,гео=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) PR= S,сред,неод=пр,ед S,фам,муж,од=(вин,ед|род,ед) S,имя,жен,од=им,ед S,фам,муж,од=(вин,ед|род,ед) A=им,ед,полн,жен S,жен,неод=им,ед	"  ск   рф   начинать   искать   украинский   след   в   убийство   немцов  —  наталья   козлов  —  российский   газета 
"	ск рф начинать искать украинский след убийство немцов наталья козлов российский газета	"  СК S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)   РФ S,reserved,сокр,гео,ед,жен,неод=(пр|вин|дат|род|твор|им)   начал V,пе=прош,ед,изъяв,муж,сов   искать V,несов,пе=инф   украинский A,гео=(вин,ед,полн,муж,неод|им,ед,полн,муж)   след S,муж,неод=(вин,ед|им,ед)   в PR=   убийстве S,сред,неод=пр,ед   Немцова S,фам,муж,од=(вин,ед|род,ед)  —  Наталья S,имя,жен,од=им,ед   Козлова S,фам,муж,од=(вин,ед|род,ед)  —  Российская A=им,ед,полн,жен   газета S,жен,неод=им,ед 
"	СКS РФS началV искатьV украинскийA следS вPR убийствеS НемцоваS НатальяS КозловаS РоссийскаяA газетаS	1	None	403	0	0	not	120378207
245	245	1933	 куплю вату и углеволокно за ад и материалы	реклама	spam	V S CONJ S PR S CONJ S	V,сов,пе=непрош,ед,изъяв,1-л S,жен,неод=вин,ед CONJ= S,сред,неод=(вин,ед|им,ед) PR= S,ед,муж,неод=(вин|им) CONJ= S,муж,неод=(вин,мн|им,мн)	"  купить   вата   и   углеволокно   за   ад   и   материал 
"	купить вата углеволокно ад материал	"  куплю V,сов,пе=непрош,ед,изъяв,1-л   вату S,жен,неод=вин,ед   и CONJ=   углеволокно S,сред,неод=(вин,ед|им,ед)   за PR=   ад S,ед,муж,неод=(вин|им)   и CONJ=   материалы S,муж,неод=(вин,мн|им,мн) 
"	куплюV ватуS иCONJ углеволокноS заPR адS иCONJ материалыS	1	None	1	0	0	not	137956827
270	270	2109	" Мед - ""всему голова"", особенно кипяченый!  Советы тибетских врачей"	рецепты	notspam	S SPRO S ADV A S A S	S,муж,неод=(вин,ед|им,ед) SPRO,ед,сред,неод=дат S,жен,неод=им,ед ADV= A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,мн|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,од=(вин,мн|род,мн)	"  мед  - "" все   голова "",  особенно   кипяченый !   совет   тибетский   врач 
"	"мед "" голова "", кипяченый совет тибетский врач"	"  Мед S,муж,неод=(вин,ед|им,ед)  - "" всему SPRO,ед,сред,неод=дат   голова S,жен,неод=им,ед "",  особенно ADV=   кипяченый A=(вин,ед,полн,муж,неод|им,ед,полн,муж) !   Советы S,муж,неод=(вин,мн|им,мн)   тибетских A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)   врачей S,муж,од=(вин,мн|род,мн) 
"	МедS всемуSPRO головаS особенноADV кипяченыйA СоветыS тибетскихA врачейS	1	None	1	0	0	not	137956827
279	279	459	 Борис Немцов бандит в законе www.horuzhy.ru Выборы 2016 без РПР-Парнас	реклама	spam	S S S PR S S PR S	S,имя,муж,од=им,ед S,фам,муж,од=им,ед S,муж,од=им,ед PR= S,муж,неод=пр,ед S,мн,неод=(вин|им) PR= S,муж,неод=(вин,ед|им,ед)	"  борис   немцов   бандит   в   закон   www . horuzhy . ru   выборы   2016   без   РПР - парнас 
"	борис немцов бандит закон www horuzhy ru выборы 2016 РПР парнас	"  Борис S,имя,муж,од=им,ед   Немцов S,фам,муж,од=им,ед   бандит S,муж,од=им,ед   в PR=   законе S,муж,неод=пр,ед   www . horuzhy . ru   Выборы S,мн,неод=(вин|им)   2016   без PR=   РПР - Парнас S,муж,неод=(вин,ед|им,ед) 
"	БорисS НемцовS бандитS вPR законеS ВыборыS безPR ПарнасS	2	45	4705	0	0	not	116748281
331	331	3414	 Люблю свободу и ...........	хорошие	notspam	V S CONJ	V,несов,пе=непрош,ед,изъяв,1-л S,жен,неод=вин,ед CONJ=	"  любить   свобода   и   ........... 
"	любить свобода ...........	"  Люблю V,несов,пе=непрош,ед,изъяв,1-л   свободу S,жен,неод=вин,ед   и CONJ=   ........... 
"	ЛюблюV свободуS иCONJ	2	None	95	0	0	not	126213939
336	336	4351	" Больше всего в людях раздражает ХРОНИЧЕСКАЯ НЕПРОХОДИМАЯ тупость..... !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Если людям пожилым или ""женщинам - девушкам"" это можно простить и вообще не обратить на это внимания...то во взрослых мужиках это просто доводит до БЕШЕНОГО  недоумения.... !!!!!!!!!! =("	хорошие	notspam	ADV SPRO PR S V A A S CONJ S A CONJ S S SPRO ADV V CONJ ADV PART V PR SPRO S CONJ PR A S SPRO PART V PR A S	ADV=срав SPRO,ед,сред,неод=род PR= S,муж,од=пр,мн V,пе=непрош,ед,изъяв,3-л,несов A=им,ед,полн,жен A=им,ед,полн,жен S,жен,неод=(вин,ед|им,ед) CONJ= S,муж,од=дат,мн A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) CONJ= S,жен,од=дат,мн S,жен,од=дат,мн SPRO,ед,сред,неод=(вин|им) ADV,прдк= V=инф,сов CONJ= ADV,вводн= PART= V,пе=инф,сов PR= SPRO,ед,сред,неод=(вин|им) S,сред,неод=(вин,мн|род,ед|им,мн) CONJ= PR= A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,од=пр,мн SPRO,ед,сред,неод=(вин|им) PART= V,пе=(непрош,ед,изъяв,3-л,несов|непрош,ед,изъяв,3-л,сов) PR= A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,сред,неод=(вин,мн|род,ед|им,мн)	"  много   все   в   человек   раздражать   хронический   непроходимый   тупость ..... !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  если   человек   пожилой   или  "" женщина  -  девушка ""  это   можно   прощать   и   вообще   не   обращать   на   это   внимание ... то   во   взрослый   мужик   это   просто   доводить   до   бешеный    недоумение ....   !!!!!!!!!!  =(
"	"раздражать хронический непроходимый тупость ..... !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! пожилой "" женщина девушка "" прощать вообще обращать внимание ... взрослый мужик доводить бешеный недоумение .... !!!!!!!!!! =("	"  Больше ADV=срав   всего SPRO,ед,сред,неод=род   в PR=   людях S,муж,од=пр,мн   раздражает V,пе=непрош,ед,изъяв,3-л,несов   ХРОНИЧЕСКАЯ A=им,ед,полн,жен   НЕПРОХОДИМАЯ A=им,ед,полн,жен   тупость S,жен,неод=(вин,ед|им,ед) ..... !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  Если CONJ=   людям S,муж,од=дат,мн   пожилым A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)   или CONJ=  "" женщинам S,жен,од=дат,мн  -  девушкам S,жен,од=дат,мн ""  это SPRO,ед,сред,неод=(вин|им)   можно ADV,прдк=   простить V=инф,сов   и CONJ=   вообще ADV,вводн=   не PART=   обратить V,пе=инф,сов   на PR=   это SPRO,ед,сред,неод=(вин|им)   внимания S,сред,неод=(вин,мн|род,ед|им,мн) ... то CONJ=   во PR=   взрослых A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)   мужиках S,муж,од=пр,мн   это SPRO,ед,сред,неод=(вин|им)   просто PART=   доводит V,пе=(непрош,ед,изъяв,3-л,несов|непрош,ед,изъяв,3-л,сов)   до PR=   БЕШЕНОГО A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред)    недоумения S,сред,неод=(вин,мн|род,ед|им,мн) ....   !!!!!!!!!!  =(
"	БольшеADV всегоSPRO вPR людяхS раздражаетV ХРОНИЧЕСКАЯA НЕПРОХОДИМАЯA тупостьS ЕслиCONJ людямS пожилымA илиCONJ женщинамS девушкамS этоSPRO можноADV проститьV иCONJ вообщеADV неPART обратитьV наPR этоSPRO вниманияS тоCONJ воPR взрослыхA мужикахS этоSPRO простоPART доводитV доPR БЕШЕНОГОA недоуменияS	2	44	16725	0	0	not	3313050
337	337	749	 http://ok.ru/video/63281469197273-1 -  римлянам 1: 18-32.	реклама	spam	S	S,муж,од=дат,мн	"  http :// ok . ru / video / 63281469197273 - 1  -   римлянин   1 :  18 - 32 . 
"	http :// ok ru / video / 63281469197273 римлянин : 18 32	"  http :// ok . ru / video / 63281469197273 - 1  -   римлянам S,муж,од=дат,мн   1 :  18 - 32 . 
"	римлянамS	1	None	403	0	0	not	120378207
372	372	1539	" Стрим-шоу ""В поисках истины"" Classic &amp; Yusha"	реклама	spam	S S PR S S	S,муж,неод=(вин,ед|им,ед) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) PR= S,муж,неод=пр,мн S,жен,неод=(вин,мн|род,ед|им,мн)	"  стрим - шоу  "" в   поиск   истина ""  Classic  & amp ;  Yusha 
"	"стрим шоу "" поиск истина "" Classic amp ; Yusha"	"  Стрим S,муж,неод=(вин,ед|им,ед) - шоу S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)  "" В PR=   поисках S,муж,неод=пр,мн   истины S,жен,неод=(вин,мн|род,ед|им,мн) ""  Classic  & amp ;  Yusha 
"	СтримS шоуS ВPR поискахS истиныS	1	None	2	0	0	not	146925211
426	426	3635	 я обычно в труднодоступные места так попадают 😆	хорошие	notspam	SPRO ADV PR A S ADVPRO V	SPRO,ед,1-л=им ADV= PR= A=(вин,мн,полн,неод|им,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) ADVPRO= V,нп=(непрош,мн,изъяв,3-л,несов|непрош,мн,изъяв,3-л,сов)	"  я   обычно   в   труднодоступный   место   так   попадать   😆 
"	труднодоступный место попадать 😆	"  я SPRO,ед,1-л=им   обычно ADV=   в PR=   труднодоступные A=(вин,мн,полн,неод|им,мн,полн)   места S,сред,неод=(вин,мн|род,ед|им,мн)   так ADVPRO=   попадают V,нп=(непрош,мн,изъяв,3-л,несов|непрош,мн,изъяв,3-л,сов)   😆 
"	яSPRO обычноADV вPR труднодоступныеA местаS такADVPRO попадаютV	1	None	0	0	0	not	156860350
